consecutivo;genero;fecha_nac;carrera;PAPA;estrato;computador_mesa;portatil;internet;smartphone;origen_covid_19;estad_gov;habito_1;habito_2;habito_3;habito_4;habito_5;habito_6;habito_7;habito_8;habito_9;habito_10;habito_11;habito_12;habito_13;habito_14;habito_15;habito_16;habito_17;aleatorio
1;Masculino;19/01/2000;Ingenieria de control;3.5;3;No;propio.;familiar;propio.;Fue fabricado en un laboratorio.;Si;Tomas notas transcribiendo los ejercicios en clase.;Escucha su musica favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia varios temas distintos en una misma sesion de estudio.;Algunas veces estudia solo otras veces con amigos.;Toma pausas cada cierto tiempo de estudio continuo.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;7
2;Masculino;5/09/1999;Ingenieria de Sistemas E Informatica;3.8;3;propio.;propio.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;Si;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su musica favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia varios temas distintos en una misma sesion de estudio.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;3
3;Masculino;12/10/2001;Ingenieria de Sistemas E Informatica;3.5;2;propio.;No;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;Si;Estudia solo.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3
4;Femenino;21/01/2000;Ingenieria de Sistemas E Informatica;3.3;3;No;prestado.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Escucha su musica favorita mientras estudia.;Estudia varios temas distintos en una misma sesion de estudio.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Memoriza ejercicios.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;7
5;Masculino;22/11/2002;Estadistica;3.8;3;No;propio.;propio.;propio.;Fue fabricado en un laboratorio.;No;Escucha su musica favorita mientras estudia.;Toma pausas cada cierto tiempo de estudio continuo.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2
6;Masculino;14/06/2000;Ingenieria de Sistemas E Informatica;3.6;2;No;propio.;propio.;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su musica favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capitulo del libro texto.;Estudia varios temas distintos en una misma sesion de estudio.;Estudia solo.;Memoriza ejercicios.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;4
7;Masculino;24/09/1999;Ingenieria de Sistemas E Informatica;3.8;3;No;propio.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Estudia varios temas distintos en una misma sesion de estudio.;Estudia con amigos.;Estudia solo.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;9
8;Femenino;7/09/2000;Ingenieria Industrial;NA;3;propio.;prestado.;propio.;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Selecciona un lugar fijo de estudio.;Estudia varios temas distintos en una misma sesion de estudio.;Estudia con amigos.;Algunas veces estudia solo otras veces con amigos.;Toma pausas cada cierto tiempo de estudio continuo.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
9;Masculino;13/10/2000;Ingenieria de Sistemas E Informatica;3.5;3;No;prestado.;familiar;propio.;No es real, es un pretexto de los gobiernos del mundo.;No;Tomas notas transcribiendo los ejercicios en clase.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;4
10;Masculino;31/12/2000;Ingenieria de Sistemas E Informatica;3.8;2;propio.;No;propio.;propio.;Fue un resultado de pasar el virus de animales a los humanos.;Si;Estudia con amigos.;Estudia todo el tema el dia anterior del examen.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4
11;Masculino;8/01/2001;Ingenieria de Sistemas E Informatica;3.8;3;propio.;No;propio.;propio.;Fue un resultado de pasar el virus de animales a los humanos.;Si;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4
12;Masculino;8/10/1996;Ingenieria de Sistemas E Informatica;3.9;3;No;propio.;familiar;propio.;"Fue un resultado de pasar el virus de animales a los humanos.
Fue fabricado en un laboratorio.";No;Lee varias veces un mismo capitulo del libro texto.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
13;Masculino;20/01/1996;Estadistica;3.6;3;propio.;propio.;propio.;propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capitulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2
14;Femenino;25/12/1994;Estadistica;NA;2;No;prestado.;alquilado;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Escucha su musica favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia con amigos.;Estudia solo.;Los ejercicios los hace junto con los amigos de estudio.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
15;Femenino;5/11/1995;Ingenieria Administrativa;3.5;3;No;propio.;propio.;propio.;Fue fabricado en un laboratorio.;Si;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su musica favorita mientras estudia.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;NA;5
16;Masculino;12/08/1993;Ingenieria de Sistemas E Informatica;3.6;3;propio.;No;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Algunas veces estudia solo otras veces con amigos.;Estudia todo el tema el dia anterior del examen.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
17;Masculino;17/05/1977;Estadistica;3.8;2;No;propio.;Prestado;propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Lee varias veces un mismo capitulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;8
18;Masculino;25/11/2000;Ingenieria de Sistemas E Informatica;3.5;3;No;propio.;familiar;propio.;NA;No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su musica favorita mientras estudia.;Estudia con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6
19;Masculino;4/12/1998;Ingenieria de Sistemas E Informatica;3.6;1;No;propio.;Plan de datos;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su musica favorita mientras estudia.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;4
20;Femenino;16/06/1999;Estadistica;4.1;3;No;propio.;propio.;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Lee varias veces un mismo capitulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;4
21;Femenino;8/12/2020;Estadistica;3.4;2;No;propio.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capitulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Madruga a estudiar.;Memoriza ejercicios.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;7
22;Femenino;22/02/2002;Ingenieria de Sistemas E Informatica;4.3;2;No;propio.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Lee varias veces un mismo capitulo del libro texto.;Estudia varios temas distintos en una misma sesion de estudio.;Algunas veces estudia solo otras veces con amigos.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;7
23;Masculino;15/05/1999;Ingenieria de Sistemas E Informatica;3.7;3;No;propio.;propio.;propio.;"Fue un resultado de pasar el virus de animales a los humanos.
Fue fabricado en un laboratorio.";Si;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capitulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;7
24;Masculino;11/08/1993;Estadistica;3.0;2;No;propio.;alquilado;propio.;Fue fabricado en un laboratorio.;Si;Algunas veces estudia solo otras veces con amigos.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8
25;Masculino;29/05/2000;Estadistica;4.0;1;No;propio.;familiar;propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su musica favorita mientras estudia.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Trasnocha estudiando para un examen.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9
26;Masculino;19/07/1982;Ingenieria de Sistemas E Informatica;3.2;3;propio.;propio.;propio.;propio.;Fue un resultado de pasar el virus de animales a los humanos.;Si;Tomas notas transcribiendo los ejercicios en clase.;Lee varias veces un mismo capitulo del libro texto.;Estudia solo.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;2
27;Masculino;6/03/2020;Estadistica;3.0;3;No;prestado.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;NA;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Estudia con amigos.;Estudia solo.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;7
28;Femenino;19/10/1996;Ingenieria Fisica;3.6;4;No;propio.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Algunas veces estudia solo otras veces con amigos.;Madruga a estudiar.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
29;Masculino;4/07/2000;Ingenieria de Sistemas E Informatica;3.8;2;No;propio.;familiar;propio.;NA;Si;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
30;Masculino;8/12/2020;Ingenieria de Sistemas E Informatica;3.7;2;propio.;No;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Escucha su musica favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;7
31;Masculino;6/12/2000;Estadistica;NA;2;No;propio.;familiar;propio.;Fue fabricado en un laboratorio.;Si;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su musica favorita mientras estudia.;Lee varias veces un mismo capitulo del libro texto.;Estudia con amigos.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Madruga a estudiar.;Memoriza ejercicios.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;8
32;Masculino;1/01/1994;Ingenieria de Sistemas E Informatica;4.1;3;No;propio.;Plan de datos;propio.;Fue un resultado de pasar el virus de animales a los humanos.;NA;Tomas notas transcribiendo los ejercicios en clase.;Selecciona un lugar fijo de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5
33;Masculino;29/01/2003;Estadistica;3.6;3;propio.;No;propio.;propio.;"Fue un resultado de pasar el virus de animales a los humanos.
Fue fabricado en un laboratorio.";No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su musica favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia varios temas distintos en una misma sesion de estudio.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;8
34;Masculino;22/09/1999;Ingenieria de Sistemas E Informatica;3.4;1;No;propio.;propio.;No;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su musica favorita mientras estudia.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;NA;2
35;Masculino;12/08/2020;Ingenieria Fisica;3.5;2;No;propio.;Contrabando;propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capitulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;5
36;Masculino;8/05/1997;Ingenieria de Sistemas E Informatica;4.5;3;No;propio.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;Si;Tomas notas transcribiendo los ejercicios en clase.;Estudia varios temas distintos en una misma sesion de estudio.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8
37;Masculino;24/10/2001;Estadistica;3.5;3;No;propio.;familiar;propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Usa los solucionarios para ver los ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9
38;Femenino;2/11/2003;Estadistica;3.6;2;No;propio.;propio.;propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su musica favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;7
39;Masculino;19/05/1994;Estadistica;4.2;2;No;propio.;Plan de datos;propio.;NA;Si;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Lee varias veces un mismo capitulo del libro texto.;Estudia solo.;Estudia todo el tema el dia anterior del examen.;Trasnocha estudiando para un examen.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
40;Femenino;2/02/1989;Estadistica;3.8;2;No;propio.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su musica favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia varios temas distintos en una misma sesion de estudio.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;9
41;Masculino;19/01/1999;Estadistica;3.0;2;No;propio.;familiar;propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su musica favorita mientras estudia.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Trasnocha estudiando para un examen.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;1
42;Masculino;25/05/1999;Estadistica;3.8;3;propio.;prestado.;familiar;propio.;NA;No;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Algunas veces estudia solo otras veces con amigos.;Toma pausas cada cierto tiempo de estudio continuo.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
43;Masculino;18/05/1998;Ingenieria de Sistemas E Informatica;3.8;4;propio.;propio.;propio.;propio.;Fue un resultado de pasar el virus de animales a los humanos.;NA;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capitulo del libro texto.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;7
44;Masculino;1/01/2000;Estadistica;3.9;3;No;propio.;familiar;propio.;NA;No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su musica favorita mientras estudia.;Estudia con amigos.;Estudia solo.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;314.159.265.359
